sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Microtis unifolia agg.,herb,seed,minute,"""   """,,wind,,,,wind
Mida salicifolia,tree,drupe,fleshy,,,frugivory,,,,endo
Mimulus repens,herb,seed,,testa very reticulate. Attachment in mud possible,,water,attachment,,,water
Mitrasacme montana,herb,seed,small,testa cells with enlarged irregular walls. Capsule with,,wind,,,,wind
Mitrasacme novae-zelandiae,herb,seed,small,"""   """,,wind,,,,wind
Molloybas cryptanthus,herb,seed,minute,,,wind,,,,wind
Montia ,herb,seed,flattened,compressed ,", ballistic ",wind,water,,,wind
Montia ,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montia calycina,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montia campylostigma,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montia drucei,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montia erythrophylla,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montia fontana,herb,seed,,"""   "", arillate, testa colliculate","""   """,water,attachment,,,water
Montia lineariifolia,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montia racemosa,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montia sessiliflora,herb,seed,flattened,"""   ""","""   """,wind,water,,,wind
Montigena novae-zelandiae,herb,seed,,dehiscent ,,wind,capsule,granivory,,wind
Morelotia affinis,herb,floret,,entangled in stamens,,wind,water,,,wind
Muehlenbeckia  ,vine,fruit,arillate,perianth fleshy ,frugivory ,frugivory,,,,endo
Muehlenbeckia astonii,shrub,fruit,arillate,"""   ""","""   """,frugivory,,,,endo
Muehlenbeckia australis,vine,fruit,arillate,"""   ""","""   """,frugivory,,,,endo
Muehlenbeckia axillaris,vine,fruit,arillate,"""   ""","""   """,frugivory,,,,endo
Muehlenbeckia complexa agg.,vine,fruit,arillate,"""   ""","""   """,frugivory,,,,endo
Muehlenbeckia ephedroides,vine,fruit,arillate,"""   ""","""   """,frugivory,,,,endo
Muellerina celastroides,shrub,fruit,fleshy,,,frugivory,,,,endo
Myoporum kermadecense,tree,drupe,fleshy,,,frugivory,,,,endo
Myoporum laetum,tree,drupe,fleshy,,"""   """,frugivory,,,,endo
Myosotidium hortensia,herb,nutlet,winged,"nutlets distinctly winged, papery",,wind,,,,wind
Myosotis  ,herb,nutlet,,"nutlet of some species partially  ""winged"". Splash-",", attachment",wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,water,foliage as,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,water,foliage as,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,,,wind
Myosotis  ,herb,nutlet,,"""   ""","""   """,wind,attachment,water,,wind
Myosotis  ,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis  ,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis albosericea,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis angustata,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis antarctica,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis arnoldii,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis brockiei,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis capitata,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis cheesemanii,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis colensoi,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis concinna,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis eximia,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis explanata,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis forsteri,herb,nutlet,"""   ""","""   """,,wind,attachment,water,,wind
Myosotis glabrescens,herb,nutlet,"""   ""","""   """,,wind,attachment,water,,wind
Myosotis goyenii,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis laeta,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis laingii,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis lyallii,herb,nutlet,"""   ""","""   """,,wind,attachment,foliage as,,wind
Myosotis macrantha,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis matthewsii,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis monroi,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis oreophila,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis petiolata,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis pulvinaris,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis pygmaea,herb,nutlet,"""   ""","""   """,,wind,attachment,water,foliage as,wind
Myosotis rakiura,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis saxosa,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis spathulata,herb,nutlet,"""   ""","""   """,,wind,attachment,water,foliage as,wind
Myosotis suavis,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis tenericaulis,herb,nutlet,"""   ""","""   """,,wind,attachment,water,foliage as,wind
Myosotis traversii,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosotis uniflora,herb,nutlet,"""   ""","""   """,,wind,attachment,water,,wind
Myosotis venosa,herb,nutlet,"""   ""","""   """,,wind,attachment,,,wind
Myosurus minimus,herb,achene,spines,American and Chile specimens generally have longer,granivory ,attachment,granivory,foliage as,,attach
Myriophyllum  ,herb,mericarp,,mericarp fibrous except in M. triphyllum and M.,",",water,,,,water
Myriophyllum pedunculatum,herb,mericarp,,"""   ""","""   """,water,,,,water
Myriophyllum propinquum,herb,mericarp,,"""   ""","""   """,water,,,,water
Myriophyllum robustum,herb,mericarp,,"""   ""","""   """,water,,,,water
Myriophyllum triphyllum,herb,mericarp,,"""   ""","""   """,water,,,,water
Myriophyllum votschii,herb,mericarp,,"""   ""","""   """,water,,,,water
Myrmechila formicifera,herb,seed,minute,,,wind,,,,wind
Myrmechila trapeziformis,herb,seed,minute,"""   """,,wind,,,,wind
Myrsine aquilonia,shrub,drupe,fleshy,kermadecensis. Bird dispersed ,frugivory ,frugivory,,,,endo
Myrsine argentea,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine australis,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine chathamica,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine coxii,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine divaricata,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine kermadecensis,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine nummularia,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine oliveri,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine salicina,tree,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Myrsine umbricola,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nematoceras  ,herb,seed,minute,,,wind,,,,wind
Nematoceras  ,herb,seed,minute,,,wind,,,,wind
Nematoceras  ,herb,seed,minute,,,wind,,,,wind
Nematoceras  ,herb,seed,minute,,,wind,,,,wind
Nematoceras  ,herb,seed,minute,,,wind,,,,wind
Nematoceras  ,herb,seed,minute,,,wind,,,,wind
Nematoceras  ,herb,seed,minute,,,wind,,,,wind
Nematoceras acuminata,herb,seed,minute,,,wind,,,,wind
Nematoceras dienema,herb,seed,minute,,,wind,,,,wind
Nematoceras hypogaea,herb,seed,minute,,,wind,,,,wind
Nematoceras iridescens,herb,seed,minute,,,wind,,,,wind
Nematoceras longipetala,herb,seed,minute,,,wind,,,,wind
Nematoceras macrantha,herb,seed,minute,,,wind,,,,wind
Nematoceras orbiculata,herb,seed,minute,,,wind,,,,wind
Nematoceras panduratum,herb,seed,minute,,,wind,,,,wind
Nematoceras papa,herb,seed,minute,,,wind,,,,wind
Nematoceras papillosum,herb,seed,minute,,,wind,,,,wind
Nematoceras rivularis,herb,seed,minute,,,wind,,,,wind
Nematoceras trilobum,herb,seed,minute,,,wind,,,,wind
Neomyrtus pedunculata,shrub,berry,fleshy,,,frugivory,,,,endo
Nephrolepis brownii,fern,spore,minute,"""   """,spores with inflated outer,wind,,,,wind
Nephrolepis flexuosa,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Nertera  ,herb,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nertera balfouriana,herb,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nertera ciliata,herb,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nertera depressa,herb,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nertera dichondrifolia,herb,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nertera scapanioides,herb,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nertera villosa,herb,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nestegis apetala,tree,drupe,fleshy,see Kirk ,frugivory ,frugivory,,,,endo
Nestegis cunninghamii,tree,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nestegis lanceolata,tree,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nestegis montana,tree,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Nothofagus fusca,tree,cupule,winged,. Glandular hooks on cupule of N.,wind ,wind,granivory,water,,wind
Nothofagus menziesii,tree,cupule,hooked,"""   ""","""   """,wind,attachment,,,wind
Nothofagus solandri,tree,cupule,winged,"""   ""","""   """,wind,granivory,water,,wind
Nothofagus truncata,tree,cupule,winged,"""   ""","""   """,wind,granivory,water,,wind
Notothlaspi  ,herb,seed,,"papillate to reticulate testa. Seeds not winged,",,wind,,,,wind
Notothlaspi australe,herb,seed,,"""   """,,wind,,,,wind
Notothlaspi rosulatum,herb,seed,,"""   """,,wind,,,,wind
novae-zelandiae f. glauca nom. nud.;,herb,cypsela,pappate,pappus caducous,,wind,,,,wind
Olearia  ,tree,achene,pappate,,"sessile glandular hairs ,",wind,attachment,,,wind
Olearia adenocarpa,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia albida,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia allomii,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia angulata,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia angustifolia,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia arborescens,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia avicenniifolia,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia bullata,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia chathamica,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia cheesemanii,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia colensoi,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia coriacea,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia crebra,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia crosby-smithiana,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia cymbifolia,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia fimbriata,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia fragrantissima,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia furfuracea,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia gardneri,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia hectorii,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia ilicifolia,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia lacunosa,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia laxiflora,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia lineata,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia lyallii,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia moschata,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia nummulariifolia,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia odorata,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia oporina,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia pachyphylla,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia paniculata,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia polita,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia quinquevulnera,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia rani,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia semidentata,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia serpentina,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia solandri,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia townsonii,shrub,achene,pappate,"""","""",wind,attachment,,,wind
Olearia traversiorum,tree,achene,pappate,"""","""",wind,attachment,,,wind
Olearia virgata,shrub,achene,pappate,"""","""",wind,attachment,,,wind
oleraceum; Antipodes - Chatham,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Ophioglossum  ,fern,spore,minute,"""   "", may disperse by subterranean gemma ",walls resistant ,wind,,,,wind
Ophioglossum coriaceum agg.,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Ophioglossum petiolatum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Oplismenus hirtellus,herb,spikelet,,,"glume long awned, glume, lemma and palea hairy",wind,attachment,,,wind
Oreobolus impar,herb,nut,,,", water ",water,capsule,,,water
Oreobolus pectinatus,herb,nut,,,"""   """,water,capsule,,,water
Oreobolus strictus,herb,nut,,,"""   """,water,capsule,,,water
Oreoporanthera alpina,herb,seed,,"capsule dehiscent, testa colliculate",,wind,,,,wind
Oreostylidium subulatum,herb,capsule,,,,wind,capsule,invertebrate,,wind
Orthoceras novae-zeelandiae,herb,seed,minute,,,wind,,,,wind
Ourisia  ,herb,seed,minute,,. Wind dispersed ,wind,,,,wind
Ourisia  ,herb,seed,minute,,"""   """,wind,,,,wind
Ourisia  ,herb,seed,minute,,"""   """,wind,,,,wind
Ourisia caespitosa,herb,seed,minute,,"""   """,wind,,,,wind
Ourisia colensoi,herb,seed,minute,,"""   """,wind,,,,wind
Ourisia confertifolia,herb,seed,minute,,"""   """,wind,,,,wind
Ourisia crosbyi,herb,seed,minute,,"""   """,wind,,,,wind
Ourisia glandulosa,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia goulandiana,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia lactea,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia macrocarpa,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia macrophylla,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia modesta,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia remotifolia,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia sessilifolia,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia simpsonii,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia spathulata,herb,seed,minute,"""   """,,wind,,,,wind
Ourisia vulcanica,herb,seed,minute,"""   """,,wind,,,,wind
Oxalis  ,herb,seed,viscid,"testa mucilaginous, granular",Benson and McDougall,ballistic,attachment,,,ballistic
Oxalis exilis,herb,seed,viscid,"""   ""","""   """,ballistic,attachment,,,ballistic
Oxalis magellanica,herb,seed,viscid,"""   ""","""   """,ballistic,attachment,,,ballistic
Oxalis rubens,herb,seed,viscid,"""   ""","""   """,ballistic,attachment,,,ballistic
Ozothamnus  ,shrub,achene,pappate,,wind dispersed ,wind,,,,wind
Ozothamnus  ,shrub,achene,pappate,"""   """,,wind,,,,wind
Ozothamnus  ,shrub,achene,pappate,"""   """,,wind,,,,wind
Ozothamnus leptophyllus,shrub,achene,pappate,"""   """,,wind,,,,wind
Ozothamnus vauvilliersii,shrub,achene,pappate,"""   """,,wind,,,,wind
Pachycladon cheesemanii,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon crenatus,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon enysii,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon exilis,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon fastigiata,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon latisiliqua,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon novae-zelandiae,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon stellata,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachycladon wallii,herb,seed,winged,"""   """,,ballistic,wind,attachment,,ballistic
Pachystegia  ,shrub,achene,pappate,,cypsela body hairy,wind,,,,wind
Pachystegia  ,shrub,achene,pappate,"""   """,,wind,,,,wind
Pachystegia insignis,shrub,achene,pappate,"""   """,,wind,,,,wind
Pachystegia minor,shrub,achene,pappate,"""   """,,wind,,,,wind
Pachystegia rufa,shrub,achene,pappate,"""   """,,wind,,,,wind
Paesia scaberula,fern,spore,minute,"""   "",",,wind,,,,wind
Parahebe  ,herb,seed,,"""   """,,wind,water,,,wind
Parahebe  ,herb,seed,,Some spp. capsule hygochastic e.g. P. cheesemanii,,wind,water,,,wind
Parahebe brevistylis,herb,seed,,"""   """,,wind,water,,,wind
Parahebe canescens,herb,seed,,"""   """,,wind,water,,,wind
Parahebe catarractae,herb,seed,,"""   """,,wind,water,,,wind
Parahebe cheesemanii,herb,seed,,"""   """,,wind,water,,,wind
Parahebe decora,herb,seed,,"""   """,,wind,water,,,wind
Parahebe hookeriana,herb,seed,,"""   """,,wind,water,,,wind
Parahebe lanceolata,herb,seed,,"""   """,,wind,water,,,wind
Parahebe laxa,herb,seed,,"""   """,,wind,water,,,wind
Parahebe linifolia,herb,seed,,"""   """,,wind,water,,,wind
Parahebe lyallii,herb,seed,,"""   """,,wind,water,,,wind
Parahebe martinii,herb,seed,,"""   """,,wind,water,,,wind
Parahebe planopetiolata,herb,seed,,"""   """,,wind,water,,,wind
Parahebe senex,herb,seed,,"""   """,,wind,water,,,wind
Parahebe spathulata,herb,seed,,"""   """,,wind,water,,,wind
Parahebe spectabilis,herb,seed,,"""   """,,wind,water,,,wind
Parietaria debilis,herb,perianthous,,perianth and bracteoles enclosing achene,,wind,water,attachment,,wind
Parsonsia capsularis,vine,seed,pappate,pappus,wind ,wind,,,,wind
Parsonsia heterophylla,vine,seed,pappate,"""   ""","""   """,wind,,,,wind
Parsonsia praeruptis,vine,seed,pappate,"""   ""","""   """,wind,,,,wind
Paspalum orbiculare,herb,floret,viscid,,,attachment,wind,,,attach
Passiflora tetrandra,vine,seed,arillate,,"1981, Benson and",frugivory,,,,endo
